,Track No.,avg_len,len_slope,avg_area,area_slope,avg_chirality,chirality_slope,avg_decay_index,decay_index_slope,avg_barbs,barb_slope,avg_tilt,tilt_slope,avg_xcen,avg_ycen,avg_L_to_W,L_to_W_slope,solar_region,active_region
0,15.0,10.978146,-13.370431356,20.7279066151,-0.230258375081,2.0,3.55887323139,0.4057158,3.56669442416,3.4,7.11774646278,-37.2917,0.933202223472,-117.71577834,510.907599,1.32956790198,0.0234508392982,0.0,0.0
1,57.0,18.9990562357,-18.6611567803,50.9899921322,-0.571339352115,1.42857142857,2.39456008984,0.159955371429,-17.9758378339,5.28571428571,1.54984280328,36.3670778571,-1.03204857603,-59.6876182643,298.202714071,0.529745121649,0.35639384532,0.0,1.0
2,110.0,9.94969443067,2.98944728355,17.0605626451,0.181332970213,-2.0,-0.774117144722,0.45927856,-0.072783157201,2.46666666667,1.8980844431,-23.162138,0.0525980713136,35.9694923133,420.964402133,1.48546167252,0.210227979242,0.0,0.0
3,144.0,9.43032979714,3.52913408537,22.8584642712,-0.217073829349,1.42857142857,-0.79708935871,0.355679857143,-8.88253018863,2.42857142857,-5.90814095865,-7.57655714286,-0.605549215878,-182.206739243,-236.898713286,1.1708074423,1.65997938687,0.0,0.0
4,171.0,5.60567714125,-1.19761077842,8.73097034377,0.0114853275152,-3.75,0.522119365663,0.580926225,23.6470400493,1.75,-0.752139513991,-55.8838,-0.368780841569,150.99996265,732.897369375,0.867159401295,-0.267748050093,0.0,1.0
5,193.0,5.381437202,7.27939480341,5.28819574821,-0.0737646922664,-2.0,2.85083089781,0.2659804,-10.5516328676,1.4,1.57020212675,5.8464,-5.47293728874,-214.97087656,642.075195,0.92154528603,-3.6333874407,0.0,0.0
6,200.0,11.0020527667,14.8010111238,40.2091528335,0.648568097802,3.33333333333,-8.02766405839,0.683541666667,-1.24130070623,4.0,7.32501488389,-20.0519,0.742604428494,497.301997,255.359665,0.663694222529,0.258910263175,0.0,1.0
7,338.0,14.86715034,68.3570497585,41.6606959546,3.13907465137,0.0,-3.12961106923,0.2509278,17.5410526809,3.0,17.7250278687,-36.81914,0.754849886354,-432.0029968,572.76781,1.26072440637,1.98994351361,0.0,1.0
8,356.0,6.09896686667,-35.0405945545,8.68747973749,0.0914791845648,0.0,-7.96224199934,-0.0211174,1.27820870331,2.0,-4.5347464355e-15,41.3428666667,-3.69259012248,-639.026652,419.441334667,1.2917294064,4.03739201764,0.0,1.0
9,381.0,7.09325600429,5.01735872467,16.4233761771,0.137706235541,0.0,0.926688612613,0.765953285714,6.54894365572,2.0,-2.38519719531,-5.86973,-0.562927788674,465.612170957,605.563145286,1.86959269074,0.781220660438,0.0,1.0
10,382.0,5.46515440833,-5.82475643405,10.1974894333,-0.142129382852,-4.16666666667,-0.122069292957,0.28617175,1.706167076,1.91666666667,-4.25422336874,30.06375,-0.382430839075,-37.8382454167,545.71541075,0.933117770184,0.245865429946,0.0,0.0
11,432.0,10.73418528,22.0688118595,35.5857169714,1.28130399852,6.0,5.00464080741,0.86776902,82.9103734398,3.0,-14.5328140182,-44.7012,-8.16337312419,-681.3026,496.0591978,0.544003358559,-0.608518801967,0.0,0.0
