,Track No.,fi_length_avg,length_slp,fi_area_avg,area_slp,fi_chiral_avg,chiral_slp,fi_tilt_avg,tilt_slp,Eruption
179,3083.0,13704726876.7,32078.0514923,2502.91359872,0.0053053029709,0.666666666667,2.49168617724,-30.1603666667,1.1684237648,0.0
180,3097.0,13597120375.0,51867.4777136,2905.50862288,0.0100400087833,0.25,4.23785640131,35.636475,4.00169350402,0.0
181,3119.0,17985985533.3,5232.61563615,3254.61050694,0.00985189775151,0.0,0.0,-25.0785,0.934665689282,0.0
182,3150.0,9919800962.5,2876.29742783,2533.72458615,-0.00149391989093,0.0,-1.06787789471,3.714855,-1.84500836297,0.0
183,3152.0,11250813596.0,7546.6034133,954.214435296,-0.000151407406345,0.0,-4.20698941714,-5.845512,-0.42478567871,0.0
184,3154.0,7928664691.67,17963.7454966,738.407119889,0.00125409273473,0.166666666667,-1.23012161371,-46.8768666667,0.580975446577,0.0
185,3166.0,8639016560.0,-28735.1764416,1175.77700687,-0.00258199412344,0.2,2.38654529833,8.81764,-4.06740143684,0.0
186,3185.0,8682056900.0,-4202.57500915,2807.42979261,-0.00342716258505,-0.2,-1.58628803743,37.8465,-1.289437015,0.0
187,3194.0,13489494786.0,37034.3527638,1771.31214472,0.00603673536019,0.4,4.66632614758,5.8681,0.915577869776,0.0
188,3206.0,16090528000.0,58889.3951888,2040.74184425,0.00606222783612,0.25,-5.78335795623,-55.217175,1.54167976024,0.0
189,3214.0,3802886670.0,12275.6345721,482.529538801,0.00213777767115,0.5,4.68376818235,51.234375,1.70282370342,0.0
190,3232.0,3802884862.5,-2788.69389764,600.896084899,-0.00115792920173,0.0,7.78335829348,-11.773225,0.841856134169,0.0
