,Track No.,avg_len,len_slope,len_stdev,len_skew,avg_area,area_slope,avg_chirality,area_stdev,area_skew,chirality_slope,avg_decay_index,decay_index_slope,avg_barbs,barb_slope,barb_stdev,barb_skew,avg_tilt,tilt_slope,tilt_stdev,tilt_skew,avg_xcen,avg_ycen,avg_L_to_W,L_to_W_slope,L_to_W_stdev,L_to_W_skew,solar_region,active_region
0,45.0,7564764370.0,16168.8058092,6168439359.76,1.64089453018,820.900540875,0.00234261038572,0.285714285714,711.119134505,1.85159277567,8.84452524981e-07,0.389037857143,-3.508190937e-07,2.42857142857,8.65398748315e-06,2.44114392723,1.50069196953,-39.4755285714,7.31046356508e-05,29.2565618647,0.303480724361,-289.185742013,617.737139,0.966848378649,1.28332429882e-06,0.28304100514,-0.430375628946,0.0,0.0
1,68.0,9570002683.75,859.071409762,6163937021.62,1.1194081124,3217.54307373,-0.00120566602642,-0.25,3393.40397305,1.79647398179,-1.26360225268e-06,0.2486598375,-1.91793456147e-06,3.75,-7.77777702221e-07,2.38484800354,1.18191235437,-16.48764875,9.57047102285e-05,42.1930523494,0.837694339773,-512.19449625,677.675872875,1.17407427207,7.28828464491e-07,0.347410620118,0.35007379205,0.0,1.0
2,146.0,9471339418.0,41986.8999207,3769296583.23,-0.849078246853,3268.7985674,0.0272668521105,0.4,2051.68801067,0.110602339139,-2.497544645e-06,0.4159524,3.37736177675e-08,3.8,9.51606980686e-06,1.72046505341,-0.395870337344,8.6062,0.000124831660351,13.6042177632,-1.22264864036,242.9541215,-508.4518068,1.80764428236,1.76158451394e-06,0.257389893694,-0.478536273041,0.0,0.0
3,160.0,9055175780.0,14375.3359444,2888128759.61,0.241333222457,866.382594725,0.00252857333003,-0.4,430.713123615,0.615826046623,-2.34241848576e-06,0.4356818,7.81425743005e-08,2.8,1.22204941174e-05,1.93907194297,0.283092214399,7.927402,-2.05735466001e-05,10.0833557733,0.188663271698,-591.2480042,386.7102052,1.84184463135,-1.52153492485e-06,0.323137285004,0.539716300729,0.0,1.0
4,197.0,9291964133.33,10166.6456891,2303074591.61,-0.162334694373,1529.05573387,-0.000228767614124,0.5,419.947128602,0.119720223995,-1.93472903592e-06,0.25578,-5.46848957853e-08,3.0,1.02498356237e-05,1.52752523165,0.841697576625,33.96915,-2.63095528785e-05,6.53280047217,0.567651412074,-607.254323167,476.535837833,1.3103982987,1.02515876853e-06,0.211129794759,-0.0899546029898,0.0,1.0
5,210.0,3695258945.0,388.153745142,410623062.545,-0.900371717542,433.742927292,-0.000607872566942,0.25,185.595313691,0.411552360595,-2.53003871847e-06,0.75550525,-4.80096097976e-06,1.25,-2.12602962597e-06,0.829156197589,-0.493382200218,-48.3485,1.77750598008e-05,20.6929435221,0.0627002264146,-23.4222525,320.65125275,0.910689649156,-5.92003231331e-08,0.256019944607,-0.466921548333,0.0,0.0
6,220.0,12140531000.0,31422.2531562,3674790199.59,-0.116359340068,3226.14422565,0.0101041731456,-0.4,1137.2525773,0.172360858413,-2.17718139549e-06,0.6036848,8.65735649004e-07,2.6,-9.73027482208e-07,0.8,0.84375,37.4613,0.000210890197357,25.9498433518,-1.43714634514,-591.6133974,-435.0054016,0.883783800038,-2.93333511701e-07,0.0936987803131,0.320385080466,0.0,1.0
7,380.0,10160174688.0,5871.8377488,5739965310.83,0.25001305167,2488.55997853,0.0055743705751,0.0,1359.96618776,-0.370053502173,-2.2503489568e-06,0.3472432,2.35356767147e-07,4.2,6.22282674256e-06,1.46969384567,-0.347767062247,-19.24964,3.72905439687e-05,18.5495380152,0.737819070672,-171.2726203,-424.9706054,1.49063994515,-2.30044197078e-08,0.45545451832,1.18041589291,0.0,1.0
8,386.0,7516086517.5,-9505.2868427,2642884168.8,-1.14959596352,953.499150866,-0.00451772832357,0.25,465.141435064,-0.283043260343,-5.75690972087e-06,0.212828275,1.99793610958e-07,1.5,-6.84412194822e-06,0.5,0.0,-38.968575,0.000319056626633,23.9371977964,-1.08118390397,-171.236700125,348.68724825,1.3505969616,4.46179973195e-06,0.309883207201,0.37147842098,0.0,0.0
9,392.0,9983864434.29,13681.9531635,3108387778.72,-0.853787857564,2052.63716613,0.0042617929501,0.285714285714,825.920341929,-0.204130195583,-4.60485359682e-06,0.696496,4.54524252251e-08,3.42857142857,2.44524444633e-06,1.49829835453,0.0104014100645,22.1170857143,-1.92801024317e-05,4.67792098248,1.00295187415,-408.028999143,536.358145571,1.75144806958,2.02019037835e-06,0.317527951912,-1.11084327946,0.0,1.0
10,409.0,16226331285.7,28511.9408823,5831782928.83,-0.458292547398,4364.37562623,0.00911276627877,0.428571428571,1735.62916245,-0.568686590236,3.92207536342e-06,0.6015134,-7.98198363446e-07,3.71428571429,1.08011942614e-05,1.90595200916,-0.0833748732703,63.2187428571,-0.000106373629883,16.7538319234,0.228617365018,-582.598859429,-393.254856714,0.693493514878,1.29484557588e-06,0.220571984805,-0.00939154347923,0.0,0.0
11,412.0,6371630796.0,-7227.58521391,2914743763.02,0.22951193135,633.787250858,-0.000576061234031,0.2,216.947346064,-0.375485905098,1.14371391608e-06,0.37409634,-5.03901211416e-07,1.6,4.21775529926e-06,1.01980390272,-0.271545417884,-30.8427,0.000339900543029,64.2232041964,0.696076905798,-423.71629554,124.24540328,0.741573898977,1.38757926193e-06,0.266750396066,0.726388707867,0.0,0.0
12,426.0,15582268233.3,-1633.54689034,1973040956.95,0.155152318804,3012.13888123,-0.0042967481434,0.166666666667,1086.87635135,0.00273419531534,4.17791186824e-06,0.414886166667,-4.47511733443e-07,3.66666666667,1.78025547829e-05,2.35702260396,0.55437171645,-57.92925,-4.0980349587e-07,4.25950289695,-0.51017880647,-478.7254995,-451.199172833,0.687438160668,-1.47845019771e-07,0.0827893028286,-0.766538729292,0.0,0.0
