,Track No.,avg_len,len_slope,len_stdev,len_skew,avg_area,area_slope,avg_chirality,avg_decay_index,decay_index_slope,area_stdev,area_skew,chirality_slope,avg_barbs,barb_slope,barb_stdev,barb_skew,avg_tilt,tilt_slope,tilt_stdev,tilt_skew,avg_xcen,avg_ycen,avg_L_to_W,L_to_W_slope,L_to_W_stdev,L_to_W_skew,solar_region,active_region
0,15.0,10978146000.0,-13370.431356,6072828994.76,1.31938470876,2072.79066151,-0.00230258375081,0.2,0.4057158,3.56669442416e-07,1248.78346703,0.267215551117,3.55887323139e-06,3.4,7.11774646278e-06,1.49666295471,-0.343621596745,-37.2917,9.33202223472e-05,28.1943026929,-0.550864737478,-117.71577834,510.907599,1.32956790198,2.34508392982e-08,0.640375784501,-0.278408256058,0.0,0.0
1,57.0,18999056235.7,-18661.1567803,6805377485.52,-0.442429477542,5098.99921322,-0.00571339352115,0.142857142857,0.159955371429,-1.79758378339e-06,2077.91576575,0.0495224592501,2.39456008984e-06,5.28571428571,1.54984280328e-06,2.93813768589,1.12105694411,36.3670778571,-0.000103204857603,67.4161514985,-1.10612171374,-59.6876182643,298.202714071,0.529745121649,3.5639384532e-07,0.210505465937,2.40084988626,0.0,1.0
2,110.0,9949694430.67,2989.44728355,4907137834.58,0.348667309402,1706.05626451,0.00181332970213,-0.2,0.45927856,-7.2783157201e-09,1079.37713253,0.479399411839,-7.74117144722e-07,2.46666666667,1.8980844431e-06,1.70749979665,0.378292847014,-23.162138,5.25980713136e-06,13.4377489274,0.36783165686,35.9694923133,420.964402133,1.48546167252,2.10227979242e-07,0.340378713626,0.10968455904,0.0,0.0
3,144.0,9430329797.14,3529.13408537,8434490743.69,1.75026074886,2285.84642712,-0.00217073829349,0.142857142857,0.355679857143,-8.88253018863e-07,2423.03967387,1.44684809847,-7.9708935871e-07,2.42857142857,-5.90814095865e-06,1.84058553239,0.319811421436,-7.57655714286,-6.05549215878e-05,49.3038970345,-0.155754642392,-182.206739243,-236.898713286,1.1708074423,1.65997938687e-06,0.433822534397,0.847776710478,0.0,0.0
4,171.0,5605677141.25,-1197.61077842,1730808540.77,1.12056687692,873.097034377,0.000114853275152,-0.375,0.580926225,2.36470400493e-06,319.604775369,1.61388669432,5.22119365663e-07,1.75,-7.52139513991e-07,1.19895788083,0.48955558083,-55.8838,-3.68780841569e-05,32.3795075094,1.28617111882,150.99996265,732.897369375,0.867159401295,-2.67748050093e-07,0.353587823796,1.07873161083,0.0,1.0
5,193.0,5381437202.0,7279.39480341,2270364028.09,0.938526815803,528.819574821,-0.000737646922664,-0.2,0.2659804,-1.05516328676e-06,354.817815276,0.56667603249,2.85083089781e-06,1.4,1.57020212675e-06,1.01980390272,0.271545417884,5.8464,-0.000547293728874,60.3597826889,-0.0510379675035,-214.97087656,642.075195,0.92154528603,-3.6333874407e-06,0.571977896177,1.48045783,0.0,0.0
6,200.0,11002052766.7,14801.0111238,8763659992.36,0.70483221551,4020.91528335,0.00648568097802,0.333333333333,0.683541666667,-1.24130070623e-07,4705.01179435,0.707087277502,-8.02766405839e-06,4.0,7.32501488389e-06,2.16024689947,0.595170064139,-20.0519,7.42604428494e-05,71.6199986656,0.703322707366,497.301997,255.359665,0.663694222529,2.58910263175e-07,0.206799525255,-0.520082341225,0.0,1.0
7,338.0,14867150340.0,68357.0497585,5184573344.98,-0.306789289273,4166.06959546,0.0313907465137,0.0,0.2509278,1.75410526809e-06,2496.35368759,0.416660303147,-3.12961106923e-06,3.0,1.77250278687e-05,1.67332005307,0.256120416286,-36.81914,7.54849886354e-05,6.00571026727,0.446446885588,-432.0029968,572.76781,1.26072440637,1.98994351361e-06,0.15634039497,0.0492192309988,0.0,1.0
8,356.0,6098966866.67,-35040.5945545,1223301058.97,0.678026099171,868.747973749,0.000914791845648,0.0,-0.0211174,1.27820870331e-07,56.7957768794,0.467367625845,-7.96224199934e-06,2.0,-4.5347464355e-21,0.0,0.0,41.3428666667,-0.000369259012248,17.4158424387,0.192337537709,-639.026652,419.441334667,1.2917294064,4.03739201764e-06,0.228445169729,0.142843235913,0.0,1.0
9,381.0,7093256004.29,5017.35872467,2458632079.69,0.588035164565,1642.33761771,0.00137706235541,0.0,0.765953285714,6.54894365572e-07,987.124895524,1.43886245532,9.26688612613e-07,2.0,-2.38519719531e-06,1.06904496765,0.70156076002,-5.86973,-5.62927788674e-05,8.66808827689,1.39918824358,465.612170957,605.563145286,1.86959269074,7.81220660438e-07,0.360026600042,0.302057176424,0.0,1.0
