,Track No.,fi_length_avg,length_slp,fi_area_avg,area_slp,fi_chiral_avg,chiral_slp,fi_tilt_avg,tilt_slp
0,2.0,12771947500.0,Na,1339.3396849603475,Na,0.0,Na,-6.07875,Na
1,21.0,4843296920.0,14271.123746680219,476.06263005742267,-0.0021617148317665878,0.0,0.0,-55.7609,-6.1761725925145914
2,58.0,3731130620.0,Na,467.7026548304355,Na,0.0,Na,-79.7514,Na
3,93.0,11408650056.0,5635.917613919597,4542.134217167709,-0.0048660318405023351,0.0,4.7063292996242687,-9.283704,-4.4889773796722023
4,94.0,22427804814.285713,-26760.784806334075,5584.925486752559,-0.007007731046145836,-0.14285714285714285,-3.2578301082540833,33.83381428571429,-0.72163070171399335
5,140.0,12197930882.5,100417.840825957,3487.984499236404,0.029019830769693597,0.25,0.24255544359484124,17.2803,4.5108844841223359
6,175.0,13819535160.0,12941.709121706173,5210.9395580385635,0.0076039674011602765,0.4,-1.3549141921230587,-22.19414,-0.16929594044097082
7,193.0,6027227850.0,-15484.982794314503,938.2795593087467,-0.0010864201250855173,0.6,-0.89165994540806592,-75.91178,0.53208096790391179
8,276.0,9279990766.666666,35614.312771528792,2020.8426888919257,0.01212768453786706,0.3333333333333333,3.3196303429970286,24.67606666666666,-3.9808956330968202
9,319.0,12006612466.666666,80722.641214789401,2685.570035185457,0.027738914329213011,-0.3333333333333333,-6.3232689514054838,-41.34036666666667,0.31282499018304
10,338.0,7821021700.0,Na,849.6009188106314,Na,0.0,Na,63.7122,Na
11,403.0,54962495000.0,Na,20516.227978286894,Na,0.0,Na,54.6336,Na
12,404.0,4793072218.0,7984.4840331819278,653.0318433,0.00072821398784382433,-0.4,0.17468747288611741,-41.36904,-0.63067665471091117
13,482.0,2941856385.0,-841.78430440929458,275.0971399776091,-0.00041864345325882154,0.0,0.0,83.9117,-0.34887172177544878
14,485.0,11014022125.0,172227.40844121994,1381.7030953725198,0.020621442696449738,0.0,21.722130506560088,-45.13158,8.0863280910591708
15,489.0,13740633600.0,186255.28064992611,1330.855937102554,0.020035678028980451,0.0,0.0,17.9486,7.3595664262750891
16,496.0,5524949000.0,11486.007174349885,646.9179217059245,0.0020184319829336817,0.0,0.0,-10.504150000000001,-8.1195281782266751
17,509.0,10298602265.294117,9608.3780437961468,1796.6381124876814,0.003635415889009919,-0.058823529411764705,-0.38852222133331316,-19.042224941176467,-0.18509897019959587
18,516.0,9594341077.142857,17294.318005175381,2058.9483746728542,0.006106668252215613,-0.5714285714285714,0.43546149759115932,-27.357114285714285,1.0663402762713647
19,558.0,9710521200.0,-15970.695518388517,1674.2989866362068,-0.0035037480736299126,0.5,3.7746262504402357,-9.984553333333333,0.13833887381121357
20,565.0,3013610500.0,Na,273.32194017935007,Na,0.0,Na,41.9122,Na
21,644.0,10762876636.666666,19568.457818330058,2921.1979220666603,0.0076984324525376817,0.0,0.0,10.68155,-0.22335054282883943
22,658.0,8861426565.0,-120584.32707007408,2349.212200477163,-0.037811860942364418,0.5,-10.84234151207295,27.01595,2.8017586277932591
23,666.0,23104329475.0,61005.40296682046,4984.804833531527,0.017475188287101928,0.0,-0.20824573209921826,-51.314675,1.3348546748938339
24,717.0,24539377455.0,520596.24710587284,2367.4533433670313,0.056505074371018572,0.0,0.0,-43.99965,6.1311055257716687
25,782.0,4161648380.0,Na,690.6325521536419,Na,1.0,Na,-63.8691,Na
26,785.0,19373203800.0,-76655.716590290685,4373.685733251042,-0.023412535611850877,0.0,-11.747919120065356,-44.750766666666664,-1.2769650833983992
27,850.0,6362067450.0,-10619.182192129043,656.3344180008282,-0.00025633155658910737,0.0,0.0,40.82908333333334,-0.083168305604638199
28,866.0,8924236641.25,10769.31793942285,1549.5700778820756,0.003232476148244106,0.375,-0.23909975864241073,-7.100552500000002,0.29634117298683366
29,905.0,8383091451.666667,37147.833959953656,1132.4061567832277,0.004065582287588178,0.0,0.0,22.365983333333332,0.92617395658998125
30,914.0,11085783550.0,361251.8706645784,798.9036220708574,0.023176896040204373,-0.5,-22.376370552696361,-7.658500000000001,9.288028641754309
31,941.0,10102761466.0,19508.503113513725,1023.3330489130392,0.0027197387939909986,0.0,0.0,-68.55691999999999,0.36511359787555764
32,956.0,10352872784.285715,10679.728702961565,2361.287944655796,0.0032478106820925737,0.14285714285714285,1.9186591276665705,27.735732857142857,0.83432398116923934
33,993.0,11035553300.0,9214.2084776715456,1463.6356316933393,0.0038809195034036864,0.6,2.3097746392187206,46.91862,3.0666968130529288
34,1028.0,7956574676.666667,5565.2741727651173,1227.4159071546849,-0.0003539776140383834,-0.2222222222222222,4.2086890160891679,53.20167777777778,0.61438737074675387
35,1030.0,4610102142.5,-12287.033609107311,465.87833235892026,-0.0013012645233690448,0.0,0.0,33.979225,1.2930236274469935
36,1055.0,7594731173.076923,-4040.2058129064881,830.6961312919523,-0.00087211810912127231,0.15384615384615385,0.083578671340046595,25.59132138461538,-1.172820164133187
37,1075.0,7115468975.0,10556.612760808788,457.9533433667809,0.00059191348188939157,0.0,0.0,-5.482973333333334,0.79158468655196579
38,1096.0,4161648515.0,-39012.640628893809,486.25867137172946,-0.0014550897191657136,0.0,-45.309349584286721,-7.970549999999999,15.929385378672887
39,1101.0,6421859960.0,83515.991886970762,717.5679451318163,0.0072928029867621175,0.0,-23.048378546569246,78.67015,2.123366446170512
40,1135.0,6134853900.0,-37980.509974994078,546.5633793872478,-0.0013524065996448815,0.5,18.252505156332706,74.04865000000001,-2.8621935860696937
41,1178.0,8771744781.666666,6980.772813099471,767.72625339225,0.0018629595889134189,0.16666666666666666,1.1370215183070904,56.529066666666665,-0.39544720076394352
42,1199.0,6285527240.0,15000.556183589206,556.9192315013578,0.0018840019153371255,0.2,-0.42138418496406227,0.1372399999999999,-3.1300893983003779
43,1202.0,5477122175.0,14960.420059273465,1002.0163690893656,0.0032168901573422881,-0.16666666666666666,2.7621497148678569,8.644005000000002,4.5667671809650896
44,1246.0,13058978325.0,2770.8014573320002,4035.2655418697136,0.015787200175010688,0.25,2.0184192555396061,-41.201325,3.9753568683696625
45,1286.0,6429032852.0,-26326.918368973063,615.4227523773867,-0.0017504255817995373,0.2,-2.2112043301962085,21.894984,0.87088449926094447
46,1396.0,7510104508.333333,27112.974567413228,829.5946718742498,0.0042795442908249957,0.16666666666666666,2.5245419778014542,-55.008766666666666,2.5863562434567804
47,1399.0,10332382320.0,84555.585891772746,1970.3499949852448,0.021201212497187909,0.3333333333333333,5.6270423061593879,-42.98896666666667,3.9414808986349819
48,1403.0,6180970242.857142,-8434.0278288824793,548.7265728488674,-0.00044115009627151524,-0.14285714285714285,0.69629008298244299,-39.66592857142857,-1.2758072323527558
49,1409.0,11552166938.421053,9094.0773743701429,1802.3031609650077,0.0023959104624384671,0.10526315789473684,-1.0667531115635249,-13.872186789473684,0.18400115397039335
50,1410.0,2654845700.0,5497.3833040160471,286.05356208382614,-0.00053987518029440667,0.0,0.0,-15.528475666666667,8.7170452733191155
51,1441.0,9662681766.666666,-38595.623035320386,793.9224576922187,-0.003048491172617295,0.0,-3.3522126139087636,11.384100000000002,4.8819635419354679
52,1450.0,9220200972.5,10422.573928794856,1468.7326643302135,-0.0066289110296221749,0.25,-11.204787436713211,8.400505,2.2164274867582869
53,1480.0,6734494942.857142,2491.5241205183074,418.49797931406545,0.00077315528544783766,0.0,0.0,21.64540714285714,-0.65072957325798608
54,1492.0,6098978563.333333,73709.886212096957,680.9092240532169,0.010577093856186078,-0.3333333333333333,-6.6069353658254029,36.16676666666667,7.1638551187585415
55,1512.0,6768655523.333333,99344.13391067514,1624.021514870098,0.037514422746240575,0.3333333333333333,-12.137920897070082,-12.22383,-9.9239586769957224
56,1568.0,19462890375.0,91978.61797870291,2477.0815771857497,0.014801881285449896,0.375,2.8225444222607905,-37.33941250000001,1.9306077480011852
